sign1,sign2,sign3,sign4,sign5,sign6,badwords,class
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
1,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
8,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,5,4,2,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,0,bad
4,0,0,0,0,0,0,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,0,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,2,bad
7,0,0,0,0,0,0,bad
3,0,2,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,2,bad
0,2,1,1,0,0,0,bad
0,1,1,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
1,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,6,5,3,1,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
5,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
3,0,0,0,0,0,0,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,6,0,0,0,0,1,bad
0,0,0,0,0,0,0,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,0,bad
0,8,7,4,0,0,0,bad
0,0,0,0,0,0,1,bad
0,3,2,1,0,0,1,bad
0,2,0,0,0,0,0,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,2,bad
0,1,75,0,0,0,0,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,2,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
0,0,0,0,0,0,1,bad
