path,content,host,class_flag
/,,demo.testfire.net,['good']
/index.jsp?content=personal_checking.htm,,demo.testfire.net,['good']
/index.jsp?content=personal_loans.htm,,demo.testfire.net,['good']
/index.jsp?content=personal_checking.htm,,demo.testfire.net,['good']
/index.jsp?content=personal_other.htm,,demo.testfire.net,['good']
/images/p_other.jpg,,demo.testfire.net,['good']
/images/p_other.jpg,,demo.testfire.net,['good']
/,,demo.testfire.net,['good']
/style.css,,demo.testfire.net,['good']
/images/logo.gif,,demo.testfire.net,['good']
/images/header_pic.jpg,,demo.testfire.net,['good']
/images/home1.jpg,,demo.testfire.net,['good']
/images/home2.jpg,,demo.testfire.net,['good']
/images/home3.jpg,,demo.testfire.net,['good']
/images/pf_lock.gif,,demo.testfire.net,['good']
/images/gradient.jpg,,demo.testfire.net,['good']
/canonical.html,,detectportal.firefox.com,['good']
/success.txt?ipv6,,detectportal.firefox.com,['good']
/success.txt?ipv4,,detectportal.firefox.com,['good']
/canonical.html,,detectportal.firefox.com,['good']
/success.txt?ipv4,,detectportal.firefox.com,['good']
/success.txt?ipv6,,detectportal.firefox.com,['good']
/canonical.html,,detectportal.firefox.com,['good']
/success.txt?ipv4,,detectportal.firefox.com,['good']
/success.txt?ipv6,,detectportal.firefox.com,['good']
/canonical.html,,detectportal.firefox.com,['good']
/success.txt?ipv6,,detectportal.firefox.com,['good']
/success.txt?ipv4,,detectportal.firefox.com,['good']
/,,demo.testfire.net,['good']
/style.css,,demo.testfire.net,['good']
/images/header_pic.jpg,,demo.testfire.net,['good']
/images/home1.jpg,,demo.testfire.net,['good']
/images/logo.gif,,demo.testfire.net,['good']
/images/home2.jpg,,demo.testfire.net,['good']
/images/home3.jpg,,demo.testfire.net,['good']
/images/pf_lock.gif,,demo.testfire.net,['good']
/images/gradient.jpg,,demo.testfire.net,['good']
/,,juice-shop.herokuapp.com,['good']
/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,,cdnjs.cloudflare.com,['good']
/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,,cdnjs.cloudflare.com,['good']
/ajax/libs/jquery/2.2.4/jquery.min.js,,cdnjs.cloudflare.com,['good']
/runtime.js,,juice-shop.herokuapp.com,['good']
/polyfills.js,,juice-shop.herokuapp.com,['good']
/main.js,,juice-shop.herokuapp.com,['good']
/styles.css,,juice-shop.herokuapp.com,['good']
/,,www.hackthissite.org,['good']
/,,google-gruyere.appspot.com,['good']
/static/codelab.css,,google-gruyere.appspot.com,['good']
/static/gruyere-78.png,,google-gruyere.appspot.com,['good']
/static/gruyere.png,,google-gruyere.appspot.com,['good']
/static/cheese_b.png,,google-gruyere.appspot.com,['good']
/static/cheese_w.png,,google-gruyere.appspot.com,['good']
/static/cheese_bw.png,,google-gruyere.appspot.com,['good']
/,,defendtheweb.net,['good']
/@hyperdx/browser@0.18.4/build/index.js,,www.unpkg.com,['good']
/css/style.css?v=,,zhr3.co.uk,['good']
/js/jquery.min.js,,zhr3.co.uk,['good']
/anon.svg,,zhr3.co.uk,['good']
/js/script.min.js?v=,,zhr3.co.uk,['good']
/js/home.min.js?v=,,zhr3.co.uk,['good']
