path,content,host,class_flag
/canonical.html,,detectportal.firefox.com,['good']
/success.txt?ipv6,,detectportal.firefox.com,['good']
/success.txt?ipv4,,detectportal.firefox.com,['good']
/v1/tiles,,contile.services.mozilla.com,['good']
/v4/threatListUpdates:fetch?$ct=application/x-protobuf&key=AIzaSyC7jsptDS3am4tPx4r3nxis7IMjBc5Dovo&$httpMethod=POST&$req=ChUKE25hdmNsaWVudC1hdXRvLWZmb3gaJwgFEAEaGwoNCAUQBhgBIgMwMDEwARCWgRcaAhgHPmB2fyICIAIoARonCAEQARobCg0IARAGGAEiAzAwMTABENa4DhoCGAdPDlFCIgIgAigBGicIAxABGhsKDQgDEAYYASIDMDAxMAEQ6K8OGgIYBy0SpZUiAiACKAEaJwgHEAEaGwoNCAcQBhgBIgMwMDEwARD0_g4aAhgHxPvN7yICIAIoARolCAkQARoZCg0ICRAGGAEiAzAwMTABECMaAhgH9wNdlCICIAIoAQ==,,safebrowsing.googleapis.com,['bad']
/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US,,firefox.settings.services.mozilla.com,['good']
/submit/firefox-desktop/events/1/9051850a-f48a-48a7-bc48-35c4320b67d3,"{""ping_info"":{""seq"":42,""start_time"":""2024-05-23T00:49:36.000-07:00"",""end_time"":""2024-05-23T00:50:50.471-07:00"",""reason"":""startup"",""experiments"":{""add-an-image-to-pdf-with-alt-text-rollout"":{""branch"":""control"",""extra"":{""type"":""nimbus-rollout""}},""backgroundupdate-enable-unelevated-installations-rollout-3-release"":{""branch"":""enabled"",""extra"":{""type"":""nimbus-rollout""}},""launch-firefox-on-os-restart-treatment-a-rollout"":{""branch"":""treatment-a"",""extra"":{""type"":""nimbus-rollout""}},""mixed-content-level-2-roll-out-release-115"":{""branch"":""control"",""extra"":{""type"":""nimbus-rollout""}},""long-term-holdback-2024-h1-velocity-desktop"":{""branch"":""delivery"",""extra"":{""type"":""nimbus-nimbus""}},""device-migration-q4-spotlights-remaining-population"":{""branch"":""treatment"",""extra"":{""type"":""nimbus-rollout""}},""extensions-migration-in-import-wizard-116-rollout"":{""branch"":""control"",""extra"":{""type"":""nimbus-rollout""}},""mozillaaccounts-toolbar-button-default-visibility-existing-user"":{""branch"":""treatment-a"",""extra"":{""type"":""nimbus-rollout""}},""csv-import-release-rollout"":{""branch"":""enable-csv-import"",""extra"":{""type"":""nimbus-rollout""}},""upgrade-spotlight-rollout"":{""branch"":""treatment"",""extra"":{""type"":""nimbus-rollout""}},""phc-rollout"":{""branch"":""rollout"",""extra"":{""type"":""nimbus-rollout""}},""ech-roll-out"":{""branch"":""rollout"",""extra"":{""type"":""nimbus-rollout""}},""fox-guide-reader-mode-existing-user-holdback"":{""branch"":""control"",""extra"":{""type"":""nimbus-nimbus""}}}},""client_info"":{""telemetry_sdk_build"":""57.0.0"",""windows_build_number"":19045,""first_run_date"":""2023-03-28-07:00"",""build_date"":""1970-01-01T00:00:00+00:00"",""client_id"":""76651afc-6205-48be-ad26-19fe8936b20d"",""locale"":""en-US"",""app_channel"":""release"",""os_version"":""10.0"",""os"":""Windows"",""app_build"":""20240321230221"",""app_display_version"":""124.0.1"",""architecture"":""x86_64""},""metrics"":{""uuid"":{""legacy.telemetry.client_id"":""85dc82c1-5acf-4673-8dfd-f49a92559138""},""quantity"":{""urlbar.pref_max_results"":10},""boolean"":{""urlbar.pref_suggest_topsites"":true,""urlbar.pref_suggest_data_collection"":false,""urlbar.pref_suggest_sponsored"":false,""urlbar.pref_suggest_nonsponsored"":false}},""events"":[{""timestamp"":0,""category"":""webcompatreporting"",""name"":""reason_dropdown"",""extra"":{""setting"":""required""}},{""timestamp"":910,""category"":""nimbus_events"",""name"":""is_ready""},{""timestamp"":5740,""category"":""nimbus_events"",""name"":""exposure"",""extra"":{""feature_id"":""windowsLaunchOnLogin"",""experiment"":""launch-firefox-on-os-restart-treatment-a-rollout"",""branch"":""treatment-a""}}]}",incoming.telemetry.mozilla.org,['good']
/spocs,"{""pocket_id"":""{1707ee03-daa5-4749-b257-2208be96835c}"",""version"":2,""consumer_key"":""40249-e88c401e1b1f2242d9e441c4"",""placements"":[{""name"":""sponsored-topsites"",""ad_types"":[3120],""zone_ids"":[280143]}]}",spocs.getpocket.com,['good']
/chains/remote-settings.content-signature.mozilla.org-2024-06-29-17-33-44.chain,,content-signature-2.cdn.mozilla.net,['good']
"/update/6/Firefox/124.0.1/20240321230221/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19045.2006%20(x64)/ISET:SSE4_2,MEM:8191/default/default/update.xml?force=1",,aus5.mozilla.org,['good']
/complete/search?client=firefox&q=demo&channel=fen,,www.google.com,['good']
/,,push.services.mozilla.com,['good']
/dashboard/,,demo.testfire.net,['good']
/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,"ads-track-digest256;a:1709232643
analytics-track-digest256;a:1709232643
base-cryptomining-track-digest256;a:1709232643
base-email-track-digest256;a:1709232643
base-fingerprinting-track-digest256;a:1709232643
content-email-track-digest256;a:1709232643
content-track-digest256;a:1709232643
google-trackwhite-digest256;a:1709232643
mozplugin-block-digest256;a:1604686195
mozstd-trackwhite-digest256;a:1709232643
social-track-digest256;a:1709232643
social-tracking-protection-facebook-digest256;a:1709232643
social-tracking-protection-linkedin-digest256;a:1709232643
social-tracking-protection-twitter-digest256;a:1709232643
",shavar.services.mozilla.com,['good']
/submit/firefox-desktop/baseline/1/32d1310d-d0e9-444e-8f2b-3e7bc3133e4a,"{""ping_info"":{""seq"":70,""start_time"":""2024-05-22T07:23:55.000-07:00"",""end_time"":""2024-05-22T08:05:10.312-07:00"",""reason"":""active"",""experiments"":{""phc-rollout"":{""branch"":""rollout"",""extra"":{""type"":""nimbus-rollout""}},""backgroundupdate-enable-unelevated-installations-rollout-3-release"":{""branch"":""enabled"",""extra"":{""type"":""nimbus-rollout""}},""launch-firefox-on-os-restart-treatment-a-rollout"":{""branch"":""treatment-a"",""extra"":{""type"":""nimbus-rollout""}},""long-term-holdback-2024-h1-velocity-desktop"":{""branch"":""delivery"",""extra"":{""type"":""nimbus-nimbus""}},""mozillaaccounts-toolbar-button-default-visibility-existing-user"":{""branch"":""treatment-a"",""extra"":{""type"":""nimbus-rollout""}},""upgrade-spotlight-rollout"":{""branch"":""treatment"",""extra"":{""type"":""nimbus-rollout""}},""csv-import-release-rollout"":{""branch"":""enable-csv-import"",""extra"":{""type"":""nimbus-rollout""}},""device-migration-q4-spotlights-remaining-population"":{""branch"":""treatment"",""extra"":{""type"":""nimbus-rollout""}},""ech-roll-out"":{""branch"":""rollout"",""extra"":{""type"":""nimbus-rollout""}},""mixed-content-level-2-roll-out-release-115"":{""branch"":""control"",""extra"":{""type"":""nimbus-rollout""}},""extensions-migration-in-import-wizard-116-rollout"":{""branch"":""control"",""extra"":{""type"":""nimbus-rollout""}},""fox-guide-reader-mode-existing-user-holdback"":{""branch"":""control"",""extra"":{""type"":""nimbus-nimbus""}},""add-an-image-to-pdf-with-alt-text-rollout"":{""branch"":""control"",""extra"":{""type"":""nimbus-rollout""}}}},""client_info"":{""telemetry_sdk_build"":""57.0.0"",""windows_build_number"":19045,""client_id"":""76651afc-6205-48be-ad26-19fe8936b20d"",""build_date"":""1970-01-01T00:00:00+00:00"",""first_run_date"":""2023-03-28-07:00"",""locale"":""en-US"",""os"":""Windows"",""os_version"":""10.0"",""app_channel"":""release"",""app_build"":""20240321230221"",""app_display_version"":""124.0.1"",""architecture"":""x86_64""},""metrics"":{""counter"":{""browser.engagement.active_ticks"":17,""browser.engagement.uri_count"":9},""labeled_counter"":{""glean.error.invalid_state"":{""glean.baseline.duration"":1},""glean.validation.pings_submitted"":{""baseline"":1,""messaging-system"":1,""pageload"":1}},""uuid"":{""legacy.telemetry.client_id"":""85dc82c1-5acf-4673-8dfd-f49a92559138""}}}",incoming.telemetry.mozilla.org,['good']
"/v1/buckets/monitor/collections/changes/changeset?_expected=""1716440232028""",,firefox.settings.services.mozilla.com,['good']
