greaters,less_thans,dashes,hashes,stars,badwords_count,class_flag
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
1,1,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
1,1,0,0,0,0,bad
3,3,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
3,3,0,0,0,0,bad
2,2,0,0,0,0,bad
3,3,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,2,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,1,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
1,1,0,0,0,0,bad
2,2,0,0,0,0,bad
3,3,0,0,0,0,bad
4,4,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
2,2,0,0,0,0,bad
4,4,0,0,0,0,bad
3,3,0,0,0,0,bad
2,2,0,0,0,0,bad
