stars,dashes,or_sign,and_sign,sub_line,comment_sign,at_sign,badwords_count,class_flag
1,0,0,0,0,1,0,0,bad
0,1,0,0,0,0,0,0,bad
2,1,0,0,0,1,0,0,bad
0,0,0,0,0,0,1,0,bad
2,0,0,0,0,1,0,0,bad
0,0,2,0,0,0,0,0,bad
0,0,0,0,0,0,0,1,bad
1,1,0,0,0,0,0,0,bad
4,0,0,0,0,2,0,0,bad
2,0,0,0,0,1,0,0,bad
3,0,0,0,0,2,0,0,bad
0,1,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
2,1,0,0,0,1,0,0,bad
0,0,2,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,2,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,2,0,bad
1,0,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,2,1,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,0,1,bad
0,1,2,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
1,0,0,0,0,1,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,1,bad
1,1,0,0,0,0,0,0,bad
0,0,2,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
1,0,0,0,0,0,0,0,bad
0,0,2,0,0,0,0,0,bad
0,0,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,1,bad
0,0,1,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,1,0,bad
0,0,1,0,0,0,0,0,bad
0,0,1,0,0,0,0,0,bad
1,0,0,0,0,1,0,0,bad
1,0,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,1,0,0,0,0,0,bad
0,0,2,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
3,0,0,0,0,2,0,0,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,1,0,bad
0,1,0,0,0,0,0,0,bad
0,0,2,0,0,0,0,0,bad
1,0,1,0,0,1,0,0,bad
0,1,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
1,0,1,0,0,1,0,0,bad
0,1,0,0,0,0,0,1,bad
0,1,1,0,0,0,0,0,bad
0,1,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,0,bad
1,0,0,0,0,1,0,0,bad
0,0,0,0,0,0,2,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,1,0,bad
0,1,0,0,0,0,0,0,bad
0,1,2,0,0,0,0,0,bad
0,1,2,0,0,0,0,0,bad
0,0,0,0,0,0,0,1,bad
2,1,0,0,0,1,0,0,bad
0,1,0,0,0,0,2,0,bad
0,0,1,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
1,0,0,0,0,0,0,0,bad
0,0,0,0,0,0,2,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,1,bad
0,0,2,0,0,0,0,0,bad
2,0,0,0,0,0,0,3,bad
0,0,0,0,0,0,0,1,bad
1,0,0,0,0,1,0,0,bad
0,1,0,0,0,0,0,0,bad
0,0,1,0,0,0,0,0,bad
1,0,1,0,0,1,0,0,bad
0,1,0,0,0,0,0,0,bad
1,0,0,0,0,1,0,0,bad
0,1,0,0,0,0,0,1,bad
0,1,0,0,0,0,0,0,bad
0,0,0,0,0,0,2,0,bad
1,0,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
1,0,0,0,0,1,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,0,bad
0,1,2,0,0,0,0,0,bad
0,3,0,0,0,0,0,0,bad
0,1,0,0,0,0,0,1,bad
0,0,2,0,0,0,0,0,bad
1,0,0,0,0,0,0,0,bad
0,0,2,0,0,0,0,0,bad
